,
 Sengoku Gaming Academy,238,
 Golden Guardians Academy,390,
 aNc Outplayed,301,
 WAVE Esports,254,
 TSM,322,
 S2V Esports Academy,248,
 Cyberground Gaming,274,
 GameWard,266,
 Vorax Liberty Academy,356,
 Kawaii Kiwis,269,
 Machi Esports,326,
 Boavista FC,254,
 Evil Geniuses Academy,321,
 Immortals,286,
 PSG Talon,314,
 S2V Esports Academy,243,
 Umbra Divinus Gaming,263,
 FURIA Academy,272,
 Kaos Latin Gamers,268,
 Nerf Galeforce,239,
 Hong Kong Attitude,273,
 Team Singularity,270,
 G2 Esports,287,
 STOPWATCH eSports,240,
 Cloud9,353,
 Sengoku Gaming Academy,256,
 Golden Guardians Academy,380,
 aNc Outplayed,319,
 WAVE Esports,259,
 TSM,326,
 S2V Esports Academy,252,
 Cyberground Gaming,267,
 GameWard,271,
 Vorax Liberty Academy,299,
 Kawaii Kiwis,268,
 Machi Esports,1492,
 Boavista FC,356,
 Evil Geniuses Academy,347,
 Immortals,309,
 PSG Talon,329,
 S2V Esports Academy,267,
 Umbra Divinus Gaming,310,
 FURIA Academy,281,
 Kaos Latin Gamers,271,
 Nerf Galeforce,259,
 Hong Kong Attitude,318,
 Team Singularity,285,
 G2 Esports,293,
 STOPWATCH eSports,277,
 Cloud9,355,
 Sengoku Gaming Academy,292,
 Golden Guardians Academy,460,
 aNc Outplayed,1432,
 WAVE Esports,257,
 TSM,314,
 S2V Esports Academy,253,
 Cyberground Gaming,252,
 GameWard,265,
 Vorax Liberty Academy,264,
 Kawaii Kiwis,264,
 Machi Esports,290,
 Boavista FC,277,
 Evil Geniuses Academy,311,
 Immortals,291,
 PSG Talon,321,
 S2V Esports Academy,291,
 Umbra Divinus Gaming,260,
 FURIA Academy,295,
 Kaos Latin Gamers,258,
 Nerf Galeforce,259,
 Hong Kong Attitude,328,
 Team Singularity,341,
 G2 Esports,345,
 STOPWATCH eSports,244,
 Cloud9,387,
 Sengoku Gaming Academy,391,
 Golden Guardians Academy,430,
 aNc Outplayed,339,
 WAVE Esports,280,
 TSM,306,
 S2V Esports Academy,247,
 Cyberground Gaming,277,
 GameWard,267,
 Vorax Liberty Academy,272,
 Kawaii Kiwis,261,
 Machi Esports,320,
 Boavista FC,253,
 Evil Geniuses Academy,350,
 Immortals,286,
 PSG Talon,342,
 S2V Esports Academy,252,
 Umbra Divinus Gaming,274,
 FURIA Academy,298,
 Kaos Latin Gamers,1275,
 Nerf Galeforce,256,
 Hong Kong Attitude,276,
 Team Singularity,272,
 G2 Esports,288,
 STOPWATCH eSports,241,
 Cloud9,350,
 Sengoku Gaming Academy,252,
 Golden Guardians Academy,374,
 aNc Outplayed,328,
 WAVE Esports,247,
 TSM,306,
 S2V Esports Academy,268,
 Cyberground Gaming,284,
 GameWard,273,
 Vorax Liberty Academy,289,
 Kawaii Kiwis,274,
 Machi Esports,313,
 Boavista FC,276,
 Evil Geniuses Academy,436,
 Immortals,303,
 PSG Talon,403,
 S2V Esports Academy,287,
 Umbra Divinus Gaming,292,
 FURIA Academy,355,
 Kaos Latin Gamers,349,
 Nerf Galeforce,366,
 Hong Kong Attitude,311,
 Team Singularity,301,
 G2 Esports,279,
 STOPWATCH eSports,245,
 Cloud9,343,
 Sengoku Gaming Academy,248,
 Golden Guardians Academy,375,
 aNc Outplayed,297,
 WAVE Esports,255,
 TSM,354,
 S2V Esports Academy,265,
 Cyberground Gaming,279,
 GameWard,273,
 Vorax Liberty Academy,285,
 Kawaii Kiwis,269,
 Machi Esports,311,
 Boavista FC,1174,
 Evil Geniuses Academy,335,
 Immortals,293,
 PSG Talon,320,
 S2V Esports Academy,254,
 Umbra Divinus Gaming,265,
 FURIA Academy,278,
 Kaos Latin Gamers,264,
 Nerf Galeforce,245,
 Hong Kong Attitude,281,
 Team Singularity,273,
 G2 Esports,285,
 STOPWATCH eSports,236,
 Cloud9,367,
 Sengoku Gaming Academy,274,
 Golden Guardians Academy,398,
 aNc Outplayed,316,
 WAVE Esports,256,
 TSM,365,
 S2V Esports Academy,295,
 Cyberground Gaming,341,
 GameWard,292,
 Vorax Liberty Academy,325,
 Kawaii Kiwis,284,
 Machi Esports,346,
