,
 Sengoku Gaming Academy,310,
 Golden Guardians Academy,356,
 aNc Outplayed,343,
 WAVE Esports,314,
 TSM,349,
 S2V Esports Academy,342,
 Cyberground Gaming,321,
 GameWard,393,
 Vorax Liberty Academy,338,
 Kawaii Kiwis,337,
 Machi Esports,349,
 Boavista FC,359,
 Evil Geniuses Academy,341,
 Immortals,315,
 PSG Talon,351,
 S2V Esports Academy,309,
 Umbra Divinus Gaming,328,
 FURIA Academy,307,
 Kaos Latin Gamers,309,
 Nerf Galeforce,294,
 Hong Kong Attitude,319,
 Team Singularity,355,
 G2 Esports,326,
 STOPWATCH eSports,298,
 Cloud9,400,
 Sengoku Gaming Academy,345,
 Golden Guardians Academy,390,
 aNc Outplayed,1184,
 WAVE Esports,312,
 TSM,325,
 S2V Esports Academy,333,
 Cyberground Gaming,319,
 GameWard,310,
 Vorax Liberty Academy,348,
 Kawaii Kiwis,317,
 Machi Esports,335,
 Boavista FC,310,
 Evil Geniuses Academy,333,
 Immortals,349,
 PSG Talon,367,
 S2V Esports Academy,1398,
 Umbra Divinus Gaming,312,
 FURIA Academy,331,
 Kaos Latin Gamers,314,
 Nerf Galeforce,318,
 Hong Kong Attitude,318,
 Team Singularity,307,
 G2 Esports,323,
 STOPWATCH eSports,298,
 Cloud9,363,
 Sengoku Gaming Academy,309,
 Golden Guardians Academy,400,
 aNc Outplayed,417,
 WAVE Esports,323,
 TSM,328,
 S2V Esports Academy,389,
 Cyberground Gaming,344,
 GameWard,334,
 Vorax Liberty Academy,328,
 Kawaii Kiwis,320,
 Machi Esports,319,
 Boavista FC,313,
 Evil Geniuses Academy,319,
 Immortals,323,
 PSG Talon,365,
 S2V Esports Academy,312,
 Umbra Divinus Gaming,330,
 FURIA Academy,322,
 Kaos Latin Gamers,306,
 Nerf Galeforce,412,
 Hong Kong Attitude,412,
 Team Singularity,391,
 G2 Esports,400,
 STOPWATCH eSports,318,
 Cloud9,370,
 Sengoku Gaming Academy,307,
 Golden Guardians Academy,361,
 aNc Outplayed,341,
