,
 Sengoku Gaming Academy,883,
 Golden Guardians Academy,898,
 aNc Outplayed,660,
 WAVE Esports,525,
 TSM,557,
 S2V Esports Academy,566,
 Cyberground Gaming,537,
 GameWard,602,
 Vorax Liberty Academy,531,
 Kawaii Kiwis,531,
 Machi Esports,598,
 Boavista FC,545,
 Evil Geniuses Academy,601,
 Immortals,574,
 PSG Talon,586,
 S2V Esports Academy,519,
 Umbra Divinus Gaming,588,
 FURIA Academy,540,
 Kaos Latin Gamers,540,
 Nerf Galeforce,498,
 Hong Kong Attitude,558,
 Team Singularity,581,
 G2 Esports,562,
 STOPWATCH eSports,512,
 Cloud9,616,
 Sengoku Gaming Academy,522,
 Golden Guardians Academy,723,
 aNc Outplayed,601,
 WAVE Esports,590,
 TSM,577,
 S2V Esports Academy,614,
 Cyberground Gaming,518,
 GameWard,606,
 Vorax Liberty Academy,579,
 Kawaii Kiwis,573,
 Machi Esports,599,
 Boavista FC,681,
 Evil Geniuses Academy,1713,
 Immortals,556,
 PSG Talon,626,
 S2V Esports Academy,589,
 Umbra Divinus Gaming,667,
 FURIA Academy,2556,
 Kaos Latin Gamers,546,
 Nerf Galeforce,543,
 Hong Kong Attitude,619,
 Team Singularity,581,
 G2 Esports,604,
 STOPWATCH eSports,503,
 Cloud9,606,
 Sengoku Gaming Academy,515,
 Golden Guardians Academy,748,
 aNc Outplayed,668,
 WAVE Esports,561,
 TSM,580,
 S2V Esports Academy,501,
 Cyberground Gaming,534,
 GameWard,581,
 Vorax Liberty Academy,519,
 Kawaii Kiwis,515,
 Machi Esports,574,
 Boavista FC,547,
 Evil Geniuses Academy,754,
 Immortals,587,
 PSG Talon,612,
 S2V Esports Academy,505,
 Umbra Divinus Gaming,540,
 FURIA Academy,592,
 Kaos Latin Gamers,534,
 Nerf Galeforce,574,
 Hong Kong Attitude,572,
 Team Singularity,579,
 G2 Esports,620,
 STOPWATCH eSports,495,
 Cloud9,640,
 Sengoku Gaming Academy,495,
 Golden Guardians Academy,638,
 aNc Outplayed,596,
 WAVE Esports,516,
