,"Sengoku Gaming Academy",61
,"Golden Guardians Academy",50
,"aNc Outplayed",47
,"WAVE Esports",42
,TSM,44
,"S2V Esports Academy",42
,"Cyberground Gaming",42
,GameWard,43
,"Vorax Liberty Academy",42
,"Kawaii Kiwis",42
,"Machi Esports",44
,"Boavista FC",41
,"Evil Geniuses Academy",45
,Immortals,45
,"PSG Talon",45
,"S2V Esports Academy",42
,"Umbra Divinus Gaming",43
,"FURIA Academy",44
,"Kaos Latin Gamers",43
,"Nerf Galeforce",42
,"Hong Kong Attitude",44
,"Team Singularity",43
,"G2 Esports",45
,"STOPWATCH eSports",41
,Cloud9,46
,"Sengoku Gaming Academy",44
,"Golden Guardians Academy",46
,"aNc Outplayed",45
,"WAVE Esports",41
,TSM,45
,"S2V Esports Academy",55
,"Cyberground Gaming",42
,GameWard,43
,"Vorax Liberty Academy",45
,"Kawaii Kiwis",44
,"Machi Esports",44
,"Boavista FC",47
,"Evil Geniuses Academy",45
,Immortals,45
,"PSG Talon",44
,"S2V Esports Academy",45
,"Umbra Divinus Gaming",48
,"FURIA Academy",42
,"Kaos Latin Gamers",46
,"Nerf Galeforce",44
,"Hong Kong Attitude",46
,"Team Singularity",47
,"G2 Esports",43
,"STOPWATCH eSports",41
,Cloud9,46
,"Sengoku Gaming Academy",49
,"Golden Guardians Academy",53
,"aNc Outplayed",46
,"WAVE Esports",43
,TSM,46
,"S2V Esports Academy",41
,"Cyberground Gaming",42
,GameWard,42
,"Vorax Liberty Academy",43
,"Kawaii Kiwis",43
,"Machi Esports",43
,"Boavista FC",43
,"Evil Geniuses Academy",58
,Immortals,45
,"PSG Talon",45
,"S2V Esports Academy",42
,"Umbra Divinus Gaming",43
,"FURIA Academy",43
,"Kaos Latin Gamers",46
,"Nerf Galeforce",46
,"Hong Kong Attitude",44
,"Team Singularity",43
,"G2 Esports",45
,"STOPWATCH eSports",41
,Cloud9,47
,"Sengoku Gaming Academy",41
,"Golden Guardians Academy",47
,"aNc Outplayed",43
,"WAVE Esports",42
,TSM,44
,"S2V Esports Academy",44
,"Cyberground Gaming",42
,GameWard,44
,"Vorax Liberty Academy",43
,"Kawaii Kiwis",42
,"Machi Esports",43
,"Boavista FC",42
,"Evil Geniuses Academy",46
,Immortals,44
,"PSG Talon",45
,"S2V Esports Academy",41
,"Umbra Divinus Gaming",43
,"FURIA Academy",44
,"Kaos Latin Gamers",42
,"Nerf Galeforce",44
,"Hong Kong Attitude",44
,"Team Singularity",93
,"G2 Esports",43
,"STOPWATCH eSports",43
,Cloud9,47
,"Sengoku Gaming Academy",41
,"Golden Guardians Academy",48
,"aNc Outplayed",42
,"WAVE Esports",41
,TSM,45
,"S2V Esports Academy",42
,"Cyberground Gaming",42
,GameWard,42
,"Vorax Liberty Academy",43
,"Kawaii Kiwis",42
,"Machi Esports",44
,"Boavista FC",43
,"Evil Geniuses Academy",44
,Immortals,45
,"PSG Talon",44
,"S2V Esports Academy",44
,"Umbra Divinus Gaming",44
,"FURIA Academy",46
,"Kaos Latin Gamers",43
,"Nerf Galeforce",42
,"Hong Kong Attitude",43
,"Team Singularity",43
,"G2 Esports",45
,"STOPWATCH eSports",41
,Cloud9,46
,"Sengoku Gaming Academy",42
,"Golden Guardians Academy",47
,"aNc Outplayed",44
,"WAVE Esports",42
,TSM,48
,"S2V Esports Academy",42
,"Cyberground Gaming",44
,GameWard,42
,"Vorax Liberty Academy",46
,"Kawaii Kiwis",44
,"Machi Esports",45
,"Boavista FC",54
,"Evil Geniuses Academy",45
,Immortals,46
,"PSG Talon",45
,"S2V Esports Academy",43
,"Umbra Divinus Gaming",43
,"FURIA Academy",47
,"Kaos Latin Gamers",44
,"Nerf Galeforce",42
,"Hong Kong Attitude",44
,"Team Singularity",43
