,
 Sengoku Gaming Academy,680,
 Golden Guardians Academy,657,
 aNc Outplayed,596,
 WAVE Esports,617,
 TSM,631,
 S2V Esports Academy,632,
 Cyberground Gaming,603,
 GameWard,571,
 Vorax Liberty Academy,576,
 Kawaii Kiwis,634,
 Machi Esports,677,
 Boavista FC,628,
 Evil Geniuses Academy,652,
 Immortals,653,
 PSG Talon,681,
 S2V Esports Academy,631,
 Umbra Divinus Gaming,601,
 FURIA Academy,581,
 Kaos Latin Gamers,597,
 Nerf Galeforce,621,
 Hong Kong Attitude,694,
 Team Singularity,642,
 G2 Esports,639,
 STOPWATCH eSports,565,
 Cloud9,619,
 Sengoku Gaming Academy,621,
 Golden Guardians Academy,637,
 aNc Outplayed,765,
 WAVE Esports,642,
 TSM,614,
 S2V Esports Academy,647,
 Cyberground Gaming,578,
 GameWard,585,
 Vorax Liberty Academy,579,
 Kawaii Kiwis,646,
 Machi Esports,665,
 Boavista FC,585,
 Evil Geniuses Academy,604,
 Immortals,628,
 PSG Talon,630,
 S2V Esports Academy,2610,
 Umbra Divinus Gaming,574,
 FURIA Academy,607,
 Kaos Latin Gamers,611,
 Nerf Galeforce,605,
 Hong Kong Attitude,776,
 Team Singularity,653,
 G2 Esports,594,
 STOPWATCH eSports,589,
 Cloud9,614,
 Sengoku Gaming Academy,651,
 Golden Guardians Academy,631,
 aNc Outplayed,679,
 WAVE Esports,725,
 TSM,653,
 S2V Esports Academy,630,
 Cyberground Gaming,623,
 GameWard,595,
 Vorax Liberty Academy,626,
 Kawaii Kiwis,684,
 Machi Esports,678,
 Boavista FC,584,
 Evil Geniuses Academy,637,
 Immortals,608,
 PSG Talon,624,
 S2V Esports Academy,2600,
 Umbra Divinus Gaming,579,
 FURIA Academy,571,
 Kaos Latin Gamers,582,
 Nerf Galeforce,557,
 Hong Kong Attitude,793,
 Team Singularity,602,
 G2 Esports,585,
 STOPWATCH eSports,578,
 Cloud9,609,
 Sengoku Gaming Academy,2576,
 Golden Guardians Academy,643,
 aNc Outplayed,612,
 WAVE Esports,585,
 TSM,642,
 S2V Esports Academy,673,
 Cyberground Gaming,615,
 GameWard,575,
 Vorax Liberty Academy,612,
 Kawaii Kiwis,590,
 Machi Esports,666,
 Boavista FC,581,
 Evil Geniuses Academy,632,
 Immortals,616,
 PSG Talon,665,
 S2V Esports Academy,606,
 Umbra Divinus Gaming,608,
 FURIA Academy,587,
 Kaos Latin Gamers,611,
 Nerf Galeforce,589,
 Hong Kong Attitude,730,
 Team Singularity,634,
 G2 Esports,606,
 STOPWATCH eSports,600,
 Cloud9,643,
 Sengoku Gaming Academy,585,
 Golden Guardians Academy,634,
 aNc Outplayed,674,
 WAVE Esports,591,
 TSM,645,
 S2V Esports Academy,595,
 Cyberground Gaming,606,
 GameWard,614,
 Vorax Liberty Academy,607,
 Kawaii Kiwis,685,
 Machi Esports,664,
 Boavista FC,601,
 Evil Geniuses Academy,599,
 Immortals,600,
 PSG Talon,647,
 S2V Esports Academy,573,
 Umbra Divinus Gaming,700,
 FURIA Academy,693,
 Kaos Latin Gamers,598,
 Nerf Galeforce,658,
 Hong Kong Attitude,613,
 Team Singularity,580,
 G2 Esports,583,
 STOPWATCH eSports,694,
 Cloud9,641,
 Sengoku Gaming Academy,592,
 Golden Guardians Academy,645,
 aNc Outplayed,600,
 WAVE Esports,636,
 TSM,589,
 S2V Esports Academy,590,
 Cyberground Gaming,677,
 GameWard,621,
 Vorax Liberty Academy,664,
 Kawaii Kiwis,583,
 Machi Esports,628,
 Boavista FC,599,
 Evil Geniuses Academy,637,
